Coefficient_name,Beta_values,Beta_values_ln,
binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&1500000,0.6155,-0.485320333,
binned_disc.is.S500.Flag.ACRPotentialRevenue0%-3% Discount&Yes&250000,1.1023,0.097398906,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&0,1.0497,0.048504409,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&1000000,2.1806,0.779600068,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&1500000,0.3015,-1.198985263,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&No&250000,4.0897,1.408471618,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&0,0.9869,-0.013186562,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&1000000,7.9937,2.078653731,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&1500000,2.2466,0.809417962,
binned_disc.is.S500.Flag.ACRPotentialRevenue10%-18% Discount&Yes&250000,32.0823,3.468304476,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&0,1.0438,0.0428679,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&1000000,1.469,0.384581897,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&No&250000,1.3116,0.271247766,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&0,1.3142,0.273228115,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&1000000,0.9202,-0.083164241,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&1500000,1.8564,0.618639128,
binned_disc.is.S500.Flag.ACRPotentialRevenue18%+ Discount&Yes&250000,5.9811,1.788604498,
binned_riskreserve_RiskRating_levels_FeeType10 RR&High&T&M,0.2446,-1.408131056,
binned_riskreserve_RiskRating_levels_FeeType10 RR&Low&FF,3.7387,1.318737957,
binned_riskreserve_RiskRating_levels_FeeType10 RR&Low&T&M,4.4791,1.499422133,
binned_riskreserve_RiskRating_levels_FeeType10 RR&Medium&FF,3.2873,1.190066559,
binned_riskreserve_RiskRating_levels_FeeType10 RR&Medium&T&M,4.0375,1.395625689,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&High&FF,0.3813,-0.964168812,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&High&T&M,2.1628,0.771403679,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&Low&FF,5.6819,1.737285684,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&Low&T&M,1.9734,0.679757943,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&Medium&FF,5.4603,1.697503733,
binned_riskreserve_RiskRating_levels_FeeType10-7618 RR&Medium&T&M,6.4348,1.861720761,
binned_riskreserve_RiskRating_levels_FeeType118500-49814 RR&High&FF,0.1191,-2.127791803,
binned_riskreserve_RiskRating_levels_FeeType118500-49814 RR&High&T&M,0,0,
binned_riskreserve_RiskRating_levels_FeeType118500-49814 RR&Low&FF,5.5429,1.71251783,
